,Series_x,Model_x,Specs_x,EoS Date,Equivalent_x,Series_y,Model_y,Price,Specs_y,Equivalent_y
0,Force10,S25N,"L2, 24x1GbE + 4x1G SFP shared, stackable",7/12/14,MS210-24,MS210,MS210-24,"$4,425","L2, 24x1GbE + 4x1G SFP, Internal PSU, stackable (210/225)",-
1,,S50N,"L2, 48x1GbE + 4x1G SFP shared, stackable",8/16/14,MS210-24,MS210,MS210-24,"$4,425","L2, 24x1GbE + 4x1G SFP, Internal PSU, stackable (210/225)",-
2,,S60-44T,"L2, 48x1GbE + 4x1G SFP, stackable",1/11/16,MS210-48,,MS210-48,"$5,826","L2, 48x1GbE + 4x1G SFP, internal PSU, stackable (210/225)",-
3,,X4012,"L2, 12x10G SFP+",,MS425-16,MS425,MS425-16,"$18,548","L3, 16x10G SFP+ + 2x40G QSFP+, redundant PSU (2), stackable via SFP port",-
4,5500,PowerConnect 5524,"L2, 24x1GbE + 2x10G SFP+, stackable",9/17/15,MS225-24,MS225,MS225-24,"$5,536","L2, 24x1GbE + 4x10G SFP+, Internal PSU, stackable (210/225)",-
5,,N1124T-ON,"L2, 24x1GbE + 4x10G SFP+",11/20/20,MS225-24,MS225,MS225-24,"$5,536","L2, 24x1GbE + 4x10G SFP+, Internal PSU, stackable (210/225)",-
6,N1500,N1524,"L2+ (RIP), 24x1GbE + 4x10G SFP+, stackable",12/31/22,MS225-24,MS225,MS225-24,"$5,536","L2, 24x1GbE + 4x10G SFP+, Internal PSU, stackable (210/225)",-
7,,PowerConnect 5524P,"L2, 24x1GbE PoE + 2x10G SFP+, stackable",,MS225-24P,,MS225-24P,"$6,447","L2, 24x1GbE PoE+ + 4x10G SFP+, internal PSU, stackable (210/225)",-
8,,N1124P-ON,"L2, 12x1GbE PoE+ + 12x1GbE + 4x10G SFP+, stackable",,MS225-24P,,MS225-24P,"$6,447","L2, 24x1GbE PoE+ + 4x10G SFP+, internal PSU, stackable (210/225)",-
9,,N1524P,"L2+ (RIP), 24x1GbE PoE+ + 4x10G SFP+, stackable",,MS225-24P,,MS225-24P,"$6,447","L2, 24x1GbE PoE+ + 4x10G SFP+, internal PSU, stackable (210/225)",-
10,,PowerConnect 5548,"L2, 48x1GbE + 2x10G SFP+, stackable",,MS225-48,,MS225-48,"$7,577","L2, 48x1GbE + 4x10G SFP+, internal PSU, stackable (210/225)",-
11,,N1148T-ON,"L2, 48x1GbE + 4x10G SFP+, stackable",,MS225-48,,MS225-48,"$7,577","L2, 48x1GbE + 4x10G SFP+, internal PSU, stackable (210/225)",-
