,Series_x,Model_x,Specs_x,Equivalent_x,Notes,Series_y,Model_y,Price,Specs_y,Equivalent_y
0,"100
Entry",108E,"L2, 7x1GbE + 1x1GbE PoE+ + 2x1G SFP",MS120-8,This switch only has 1 PoE port on it,MS120 Compact,MS120-8,$972,"L2, 8x1GbE + 2x1G SFP, External PSU",-
1,,124E,"L2, 24x1GbE + 4x1G SFP",MS120-24,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
2,,124E-POE,"L2, 24x1GbE PoE+ + 4x1G SFP",MS120-24P,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
3,,124E-FPOE,"L2, 24x1GbE PoE+ (370W) + 4x1G SFP",MS120-24P,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
4,,124F,"L2, 24x1GbE + 4x10G SFP+",MS125-24,,MS125,MS125-24,"$2,816","L2, 24x1GbE + 4x10G SFP+, Internal PSU",-
5,,124F-POE,"L2, 24x1GbE (185W) + 4x10G SFP+",MS125-24P,,,MS125-24P,"$4,608","L2, 24x1GbE PoE+ + 4x10G SFP+, internal PSU",-
6,,124F-FPOE,"L2, 24x1GbE (370W) + 4x10G SFP+",MS125-24P,,,MS125-24P,"$4,608","L2, 24x1GbE PoE+ + 4x10G SFP+, internal PSU",-
7,,148E,"L2, 48x1GbE + 4x1G SFP",MS120-48,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
8,,148E-POE,"L2, 48x1GbE PoE+ + 4x1G SFP",MS120-48LP,,,MS120-48LP,"$4,874","L2, 48x1GbE PoE+ (370W) + 4x1G SFP, internal PSU",-
9,"200
Mid-Range",224E,"L3, 24x1GbE + 4x1G SFP",MS250-24,"**If L3 not needed, MS120-24",MS250,MS250-24,"$7,914","L3, 24x1GbE + 4x10G SFP+, redundant PSU (2), stackable (250 only)",-
10,"400
Premium",424D,"L3, 24x1GbE + 4x10G SFP+",MS250-24,**MS250 can still be positioned here,MS250,MS250-24,"$7,914","L3, 24x1GbE + 4x10G SFP+, redundant PSU (2), stackable (250 only)",-
11,,224E-POE,"L3, 24x1GbE PoE+ + 4x1G SFP",MS250-24P,,,MS250-24P,"$8,594","L3, 24x1GbE PoE+ + 4x10G SFP+, redundant PSU (2), stackable (250 only)",-
