,Series_x,Model_x,Price_x,Specs_x,EoS_x,EoL_x,Equivalent_x,Accessories,Notes,Series_y,Model_y,Price_y,Specs_y,Equivalent_y
0,1900,HPE OfficeConnect 1920S 8G Switch,,"L2, 8x1GbE",,,MS120-8,,,MS120 Compact,MS120-8,$972,"L2, 8x1GbE + 2x1G SFP, External PSU",-
1,1930 (Instant On),JL680A Aruba Instant On 1930 8G 2SFP Switch,,"L2, 8x1GbE + 2x1G SFP",,,MS120-8,,,MS120 Compact,MS120-8,$972,"L2, 8x1GbE + 2x1G SFP, External PSU",-
2,,J9777A 2530-8G,,"L2, 8x1GbE + 1x1GbE/1G SFP (dual-personality)",9/30/17,1/30/22,MS120-8,,,MS120 Compact,MS120-8,$972,"L2, 8x1GbE + 2x1G SFP, External PSU",-
3,,J9783A 2530-8,,"L2, 8x1GbE + 1x1GbE/1G SFP (dual-personality)",9/30/17,1/30/22,MS120-8,,,MS120 Compact,MS120-8,$972,"L2, 8x1GbE + 2x1G SFP, External PSU",-
4,,HPE OfficeConnect 1920S 24G 2SFP Switch,,"L2, 24x1GbE + 2x1G SFP",,,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
5,,J9776A 2530-24G,,"L2, 24x1GbE + 4x1G (SFP)",9/30/17,1/30/22,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
6,,J9782A 2530-24,,"L2, 24x1GbE + 2x1GbE + 2x1G SFP",9/30/17,1/30/22,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
7,,J4900C ProCurve 2626,,"L2, 24x100MbE + 2x1GbE/1G SFP (dual-personality)",2/1/10,2/1/15,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
8,2800 (ProCurve),J4903A ProCurve Switch 2824,,L2. 24x1GbE + 4x1GbE/GBIC (dual-personality),12/1/09,12/1/14,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
9,2910 (ProCurve),J9145A ProCurve 2910al-24G,,"L2, 24x1GbE + 4x dual-personality 1GbE/SFP (upg. to 10G)",5/31/14,5/31/19,MS120-24,,**Up to MS125 if using 10G module,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
10,,R8N88A 6000 24G 4SFP ,,"L2, 24x1GbE + 4x1G SFP",,,MS120-24,,,MS120,MS120-24,"$2,816","L2, 24x1GbE + 4x1G SFP, Internal PSU",-
11,,HPE OfficeConnect 1920S 48G 4SFP Switch,,"L2, 48x1GbE + 4x1G SFP",,,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
12,,J9775A 2530-48G,,"L2, 48x1GbE + 4x1G SFP",9/30/17,1/30/22,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
13,,J9781A 2530-48,,"L2, 48x1GbE + 2x1GbE + 2x1G SFP",9/30/17,1/30/22,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
14,2600 (ProCurve),J4899A ProCure 2650,,"L2, 48x100MbE + 2x1G SFP, opt. modules/expansion slots",2/1/10,2/1/15,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
15,,J4899B ProCurve 2650,,"L2, 48x100MbE + 2x1GbE/1G SFP (dual-personality)",2/1/10,2/1/15,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
16,,J4899C ProCurve 2650,,"L2, 48x100MbE + 2x1GbE/1G SFP (dual-personality)",2/1/10,2/1/15,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
17,,J4904A ProCurve Switch 2848,,L2. 48x1GbE + 4x1GbE/GBIC (dual-personality),12/1/09,12/1/14,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
18,,J9147A ProCurve 2910al-48G,,"L2, 48x1GbE + 4x dual-personality 1GbE/SFP (upg. to 10G)",5/31/14,5/31/19,MS120-48,,**Up to MS125 if using 10G module,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
19,,R8N86A 6000 48G 4SFP,"$5,190","L2, 48x1GbE + 4x1G SFP",,,MS120-48,,,,MS120-48,"$3,602","L2, 48x1GbE + 4x1G SFP, internal PSU",-
20,,HPE OfficeConnect 1920S 24G 2SFP PoE+ 370W Switch,,"L2, 24x1GbE PoE+ + 4x1G SFP",,,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
21,,J9138A 2520-24-PoE,,"L2, 24x100MbE PoE + 2x1GbE + 2x1GbE/SFP combo",,,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
22,,J9773A 2530-24G-PoE+ ,,"L2, 24x1GbE + 4x1G (SFP)",9/30/17,1/30/22,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
23,,J9779A 2530-24-PoE+,,"L2, 24x1GbE PoE+ + 2x1G SFP + 2x1G",9/30/17,1/30/22,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
24,,J8164A ProCurve 2626-PWR,,"L2, 24x100MbE PoE + 2x1GbE/1G SFP (dual-personality)",2/1/10,2/1/15,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
25,,J9146A ProCurve 2910al-24G-PoE+,,"L2, 24x1GbE PoE+ + 4x dual-personality 1GbE/SFP (upg. to 10G)",5/31/14,5/31/19,MS120-24P,,**Up to MS125 if using 10G module,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
26,,R8N87A 6000 24G Class4 PoE 4SFP 370W,,"L2, 24x1GbE PoE+ (370W) + 4x1G SFP",,,MS120-24P,,,,MS120-24P,"$3,589","L2, 24x1GbE PoE+ + 4x1G SFP, internal PSU",-
27,,HP 1920-48G-PoE+ (370W) Switch,,"L2, 48x1GbE PoE+ + 4x1G SFP",,,MS120-48LP,,,,MS120-48LP,"$4,874","L2, 48x1GbE PoE+ (370W) + 4x1G SFP, internal PSU",-
28,,J9772A 2530-48G-POE+,,"L2, 48x1GbE PoE+ + 4x1G (SFP)",9/30/17,1/30/22,MS120-48LP,,,,MS120-48LP,"$4,874","L2, 48x1GbE PoE+ (370W) + 4x1G SFP, internal PSU",-
